prefix,cmd,param,data_len,padding,address,data
8105,00,210100,00,00,00000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8105,c1,000000,00,00,00000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8105,c3,000000,0c,00,dff90000000000000000,0000000000100000cccccccc00000000000000000000000000000000000000000000000000000000000000000000
8105,04,000000,00,00,00000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8105,03,000000,2e,00,d7432e00000000000000,5fc241f4c2f30cde6d4ebb416057855a9e3faf1b21944125e92aae065569cc4e3264ac39881a903acd4c7101db34
8105,03,000000,2e,00,dec32e0000002e000000,bff10e7f0ad74d5d34885539bcede7faf514dd60db6b454466e0cdd7d7e36024e5a361b144bf7a4d7e5eb4e77854
8105,03,000000,2e,00,f7d42e0000005c000000,da6fe7d959d2a0310f323633def9554121d6294687d1c51edf55c75ab9f515d2f8ec98b023396c1bc9c89a84577c
8105,03,000000,2e,00,e4392e0000008a000000,a4f42d938b939fdc461a887d9584f920c70bc7da4c62282a298c39ed847ef580c1ab36b0fa3b46e5a058f6b5bfd3
8105,03,000000,2e,00,de012e000000b8000000,42be1e770dc8dea746b51c63cbe2d78222a63595b8ae9fa36edcdc699d1bb81053bc45a64e9d676f3439c5223320
8105,03,000000,2e,00,fbd22e000000e6000000,4e132664ce7238bf5e26fa927ab0a4d35d3c42c28b48735a58fa4744ce4781da5247819722c17217f396f57daa51
8105,03,000000,2e,00,b4b12e00000014010000,e806da93c5c09c48553dc65eb0e63c05f50fea7465956886d014eb87ac850274e10cb34cd96fcf8367e1e23f25e5
8105,03,000000,2e,00,5b042e00000042010000,dfa8fa9b0eac86cbb878c873366d17a101a16beb6192374bfd29a1d6c582db0ca6e12be8923052de45a4ff3bc756
8105,03,000000,2e,00,635b2e00000070010000,21f6413f30d7f7da20fbd65b1a6afdbf6643488e01cf1a867b68de7d324ef99b63eb7a94f413ffd9da8dd82048c0
8105,03,000000,2e,00,f9642e0000009e010000,c2d801e5c3af1f691261ce7772c0daa426c4b2140a4f09bdc8f3cf4b2650d4f40b230f81e06bd6e5006b61f362f3
8105,03,000000,2e,00,0f4c2e000000cc010000,5adffb88755d33cfdc32249d23923fea03a591a7b256074ea317188bc93af1468d6b42470b83b216a1e5f466f04c
8105,03,000000,2e,00,88362e000000fa010000,f7a2ce5d0f94f7e1deb63c4fb70431f6cc6b51c75bfb389bc0a40a9f0186c2a0361195e82df4dbaecbba03d4266c
8105,03,000000,2e,00,da1b2e00000028020000,051e8eb9f64a3ec9edacdecda304fabd8f078fd2ebf54adf1f15dbe5a033401623aa4c250c353796b25ae787558b
8105,03,000000,2e,00,ab852e00000056020000,519e28fea68fcb1fdfc10db884283fcdb6d15b00f03ab95adfc8870d99901f7a2e440d617edff57e8fcbf9b53c77
8105,03,000000,2e,00,791e2e00000084020000,ed677388b23871d8fc543adc8c1d5caa09d2fe375943812f6a851b47acc652bfa33d82153e8ccb59006f609c4a00
8105,03,000000,2e,00,d5602e000000b2020000,9bf6d8219c6051e38ffda22e013e3b5c5920801878a8a3758388995edf1f0db62c8680bd554b4bbb222453525e46
8105,03,000000,2e,00,fbe92e000000e0020000,1c93cc167dc04b91ac19178988dd21afcd73706b52246fccb54212b63a74e5233f29f84ca8d973d252ec4954a10e
8105,03,000000,2e,00,64af2e0000000e030000,03a2b25f648bc623acd00e1629c8013b9523dc4b447be7560b551f565b9aa4bc7ea9f23e7cc3d231206bbc2b77a2
8105,03,000000,2e,00,92bb2e0000003c030000,c22bb30ed768e8751f4848c5c55db0592718abc7e8e01f3a898aa8c02222faec1a4a4b9ec2b4b5c3354f16d5b8e3
8105,03,000000,2e,00,5a202e0000006a030000,2f66090702b9ae5d0ec0ce8877a2d412a158491a6d544adef31a79b26e3486c3eed4fa83dd671109fa7e747f7030
8105,03,000000,2e,00,f2c82e00000098030000,ef9693233c124c71f8ec1d14f1ea716d922dd398ed588beae30a6f25a43133c6aa7374655e6bf7fbc6d77dcffa87
8105,03,000000,2e,00,ad982e000000c6030000,8e8782af7c1fec5a8ecfd2cb28968f653fa5cac8169ff5f5bcf2bf905bd3814b8de91f472c911a5a8c21118045af
8105,03,000000,2e,00,23e52e000000f4030000,8dc38974614fa43507efe5de2e848282e0d1a4dc314d7b6c4a20bb916ed40bf46d0030e5484d951714660a832f40
8105,03,000000,2e,00,30122e00000022040000,d5308494f8bf137eeaf5f9bf1f54d312df5dfb9b055657d82fe6d8c23e8b281f640daf18500caaea924bcaaf278d
8105,03,000000,2e,00,1dda2e00000050040000,96b663d4e1a146f1d154c0f4fcfbced5ea3e065b1605a9f000aa948e9ad1e38b9d685d316b8055d34613fd015756
8105,03,000000,2e,00,e9662e0000007e040000,79223523e53ebd9fd601a18eda9bf5b038959b36ecbd1bd10963339dc706a1f5b3ac68755daa976855753dbac063
8105,03,000000,2e,00,1c792e000000ac040000,e36cd42b80a7280164708fcbe35ad8d53e0d89dd62fcbe41c1c35a09a61a583cf63139dcfbfb2663763fa808ec6c
8105,03,000000,2e,00,194f2e000000da040000,cd0f6a40d24f396236fdd9e944ec8a8d16344d48b84c309503e105f7a629c9f3819e48404123652468ed9290d32d
8105,03,000000,2e,00,59632e00000008050000,e6630d74db70e28f751deee9d76e7c86fef73e72a41d7942f690ca055701abff8212f562ee0bfabcc2396b4b7c0d
8105,03,000000,2e,00,ab412e00000036050000,1a1b960f9fdfef20da7bb2fcce0c5fb063242bf9b7378c71c62320db33a3c66fe2dc7cc675ac2110e176b6f52aa2
8105,03,000000,2e,00,08822e00000064050000,c2f87d180bdfc021cba482f7f819a08346f01cb26dd759b5eef76aa1bc9b7719c9f2256182548a7a219b2a60d50d
8105,03,000000,2e,00,bbe62e00000092050000,028fb0b42fb0a73f2ce1be18101e180b991b05e04e2f48f463cb08560dce0765b2a1b41db551ed7d8d9671afbef8
8105,03,000000,2e,00,a94b2e000000c0050000,83d2ef97c23769b7be7ad312e43d525ee02a9e168e03ee0098bcea6aa8a6dff3b18c898c277c03fb9339f075f098
8105,03,000000,2e,00,c6a92e000000ee050000,1ef3febbadeb968c9654e0cf676ef2885bfcff7c508c4ebde0f9ef55ac0648ff63cd0fb3ca8dd6c1eb73c3656d9d
8105,03,000000,2e,00,d6b22e0000001c060000,a5f14831ed7b947bf8b1ee991d1ce33bfc01cf952459ea7b1784553fb6c86c66bd47d81b9944dd3e1930ee3adcfb
